ProdTaken,Age,TypeofContact,CityTier,DurationOfPitch,Gender,NumberOfFollowups,PreferredPropertyStar,NumberOfTrips,Passport,PitchSatisfactionScore,MonthlyIncome,MarketingCost,Occupation:Large Business,Occupation:Salaried,ProductPitched:Deluxe,ProductPitched:King,ProductPitched:Super Deluxe,MaritalStatus:Married,MaritalStatus:Single,Designation:Executive,Designation:Manager,Designation:VP,AgeStructure:Prime working age
0.0,-0.17101902326084753,1.0,3.0,-1.162194203320661,1.0,-2.693586845309018,5.0,-0.6735313773068816,0.0,4.0,-0.24406132553076784,-1.4158153672277909,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,-0.17101902326084753,1.0,1.0,-0.9145219945830309,1.0,-0.703231156026872,3.0,-0.6735313773068816,0.0,5.0,-1.0024112012735644,-0.9190525286973219,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,-0.28048383643637465,0.0,1.0,-0.6668497858454008,1.0,0.2919466886142011,3.0,-0.6735313773068816,0.0,2.0,0.5780471437461927,-0.47748556111468277,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0.0,0.047910603090206734,1.0,1.0,1.31452788405564,1.0,0.2919466886142011,4.0,1.520338775613226,0.0,4.0,-0.36224314220624293,1.2887823092158737,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,0.047910603090206734,1.0,1.0,-1.162194203320661,0.0,-0.703231156026872,5.0,0.4234036991531723,0.0,2.0,-1.1728313671686192,-1.0846401415408116,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1.0,-0.17101902326084753,1.0,1.0,-0.047669264001325574,0.0,-0.703231156026872,5.0,-1.2219989155369084,0.0,4.0,-0.24406132553076784,-0.33949588374510803,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
0.0,-0.8278079023140104,1.0,1.0,-0.047669264001325574,1.0,1.287124533255274,3.0,-0.12506383907685464,1.0,3.0,0.04175990841210391,0.4884421804723402,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,0.5952346689678424,0.0,1.0,-1.162194203320661,0.0,-0.703231156026872,3.0,0.9718712373831992,0.0,1.0,-0.5882782806544625,-1.0846401415408116,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,-0.9372727154895374,1.0,3.0,1.31452788405564,1.0,-0.703231156026872,3.0,-0.12506383907685464,0.0,2.0,-0.31636078984988203,0.5712359868940851,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0
0.0,1.5804179875475866,1.0,1.0,0.32383904910511957,0.0,1.287124533255274,4.0,0.9718712373831992,0.0,1.0,1.6478408657867119,0.9024112125810644,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
0.0,-0.3899486496119018,1.0,1.0,-0.9145219945830309,1.0,0.2919466886142011,5.0,2.068806313843253,0.0,4.0,-0.5098214443741051,-0.6982690449060023,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
0.0,-0.17101902326084753,1.0,1.0,0.32383904910511957,0.0,-0.703231156026872,3.0,-1.2219989155369084,1.0,4.0,-0.24406132553076784,-0.09111446447987356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0.0,1.5804179875475866,0.0,1.0,-0.29534147273895567,0.0,1.287124533255274,3.0,-0.6735313773068816,0.0,5.0,-0.39879012416975124,0.2124628257331908,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1.0,-0.3899486496119018,0.0,3.0,-0.4191775771077707,0.0,1.287124533255274,3.0,-1.2219989155369084,0.0,4.0,-1.226062840898077,0.0744731483636161,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
0.0,1.0330939216699508,0.0,1.0,-1.162194203320661,0.0,-0.703231156026872,4.0,-1.2219989155369084,0.0,5.0,0.6819279674794254,-1.0846401415408116,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
1.0,-1.7035264077182273,0.0,1.0,-0.7906858902142159,1.0,0.2919466886142011,3.0,-1.2219989155369084,1.0,3.0,-1.1263531401063316,-0.5878773030103426,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
0.0,0.5952346689678424,1.0,1.0,-0.7906858902142159,1.0,1.287124533255274,3.0,0.9718712373831992,0.0,1.0,0.38438786431999394,-0.33949588374510803,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0.0,2.018277240249695,1.0,3.0,-1.038358098951846,1.0,0.2919466886142011,3.0,0.9718712373831992,0.0,1.0,1.0712327753515787,-0.8086607868016621,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
